Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar	Seed
918.4361438751221	63	30.567839	26.674177	86.0	0.0	151.0	0.0	0.20243602	0.20243602	0.20243602	0.20243602	30049	1923136	1
932.3735959529877	64	29.949749	25.269552	84.0	0.0	151.0	0.0	0.19834271	0.19834271	0.19834271	0.19834271	30049	1953185	1
946.2735159397125	65	40.9598	26.375874	84.0	0.0	151.0	0.0	0.27125695	0.27125695	0.27125695	0.27125695	30049	1983234	1
960.2965681552887	66	35.37186	25.6637	83.0	0.0	151.0	0.0	0.23425072	0.23425072	0.23425072	0.23425072	30049	2013283	1
974.4663150310516	67	36.150753	25.130362	82.0	0.0	151.0	0.0	0.23940897	0.23940897	0.23940897	0.23940897	30049	2043332	1
988.515410900116	68	32.100502	24.036404	88.0	0.0	151.0	0.0	0.2125861	0.2125861	0.2125861	0.2125861	30049	2073381	1
1002.6005408763885	69	29.98995	25.004519	79.0	0.0	151.0	0.0	0.19860893	0.19860893	0.19860893	0.19860893	30049	2103430	1
1018.5825259685516	70	34.140705	24.50967	85.0	0.0	151.0	0.0	0.22609738	0.22609738	0.22609738	0.22609738	30049	2133479	1
1033.5975198745728	71	35.522614	26.436007	83.0	0.0	151.0	0.0	0.23524909	0.23524909	0.23524909	0.23524909	30049	2163528	1
1049.644024848938	72	34.552765	26.37183	84.0	0.0	151.0	0.0	0.22882625	0.22882625	0.22882625	0.22882625	30049	2193577	1
1064.6467440128326	73	37.63819	26.852093	84.0	0.0	151.0	0.0	0.24925955	0.24925955	0.24925955	0.24925955	30049	2223626	1
1080.3397779464722	74	38.38191	27.527508	82.0	0.0	151.0	0.0	0.25418484	0.25418484	0.25418484	0.25418484	30049	2253675	1
1094.9591569900513	75	40.447235	28.358189	88.0	0.0	151.0	0.0	0.2678625	0.2678625	0.2678625	0.2678625	30049	2283724	1
1109.451817035675	76	35.68342	27.59971	85.0	0.0	151.0	0.0	0.23631401	0.23631401	0.23631401	0.23631401	30049	2313773	1
1123.849613904953	77	41.884422	28.29194	87.0	0.0	151.0	0.0	0.2773803	0.2773803	0.2773803	0.2773803	30049	2343822	1
1138.28444480896	78	39.48744	29.0321	85.0	0.0	151.0	0.0	0.2615062	0.2615062	0.2615062	0.2615062	30049	2373871	1
1152.6098728179932	79	35.39196	29.22581	90.0	0.0	151.0	0.0	0.23438384	0.23438384	0.23438384	0.23438384	30049	2403920	1
1166.645563840866	80	31.753769	28.479645	85.0	0.0	151.0	0.0	0.21028987	0.21028987	0.21028987	0.21028987	30049	2433969	1
1180.720636844635	81	31.557789	28.758839	92.0	0.0	151.0	0.0	0.20899197	0.20899197	0.20899197	0.20899197	30049	2464018	1
1194.6809039115906	82	28.824121	28.953684	88.0	0.0	151.0	0.0	0.19088821	0.19088821	0.19088821	0.19088821	30049	2494067	1
1208.6685738563538	83	33.29146	29.566303	91.0	0.0	151.0	0.0	0.22047323	0.22047323	0.22047323	0.22047323	30049	2524116	1
1222.7855989933014	84	30.271357	29.086714	81.0	0.0	151.0	0.0	0.20047256	0.20047256	0.20047256	0.20047256	30049	2554165	1
1236.8746378421783	85	32.457287	28.642433	89.0	0.0	151.0	0.0	0.21494892	0.21494892	0.21494892	0.21494892	30049	2584214	1
