Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar	Seed
179.31327414512634	58	102.72583	13.857833	127.967804	68.167145	21.0	0.0	4.891706	4.891706	4.891707	4.891707	-0.69335485	0.00647902	7.49265e-05	7.3663796e-05	0.6933623	1008	59472	10
182.03851795196533	59	105.03652	16.551262	137.8174	68.465904	21.0	0.0	5.0017385	5.0017385	5.001739	5.001739	-0.6928798	0.0037744443	4.2895976e-05	8.204593e-05	0.6928841	1008	60480	10
184.78051710128784	60	101.06631	15.403782	128.08223	48.727436	21.0	0.0	4.812681	4.812681	4.812682	4.812682	-0.6934317	0.008344677	9.6342934e-05	0.00024631273	0.6934413	1008	61488	10
187.4930009841919	61	105.41507	15.303596	128.2697	68.12164	21.0	0.0	5.0197654	5.0197654	5.019767	5.019767	-0.6932141	0.0012129953	1.7806538e-05	3.6740028e-05	0.69321597	1008	62496	10
190.21606016159058	62	105.98603	16.900755	137.6756	58.486958	21.0	0.0	5.046954	5.046954	5.0469556	5.0469556	-0.69332254	0.0016903151	1.40923785e-05	4.465309e-05	0.6933239	1008	63504	10
192.94833397865295	63	100.27369	14.71242	127.715935	58.644314	21.0	0.0	4.7749376	4.7749376	4.774937	4.774937	-0.69294095	0.0027499627	3.2754597e-05	1.3848984e-05	0.69294417	1008	64512	10
195.67266702651978	64	107.93189	12.548659	137.83002	78.31895	21.0	0.0	5.1396146	5.1396146	5.1396117	5.1396117	-0.69341433	0.0037381342	1.5012157e-05	1.3046515e-05	0.6934159	1008	65520	10
198.43380403518677	65	106.624596	14.548879	137.90675	78.534706	21.0	0.0	5.0773616	5.0773616	5.0773616	5.0773616	-0.6934787	0.0036227957	1.1802997e-05	2.7535603e-05	0.6934799	1008	66528	10
201.41073298454285	66	110.55074	15.4565935	137.63222	68.63014	21.0	0.0	5.264321	5.264321	5.2643204	5.2643204	-0.69317496	0.0016025117	1.101542e-05	1.7362094e-05	0.69317615	1008	67536	10
204.29967212677002	67	106.42092	13.302077	128.11578	78.33714	21.0	0.0	5.0676627	5.0676627	5.0676637	5.0676637	-0.69304466	0.0023497795	1.2581248e-05	1.2995026e-05	0.6930459	1008	68544	10
