Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
26.153077125549316	62	87.61599	19.892483	118.21306	9.049336	21.0	0.0	4.1721897	4.1721897	4.1721897	4.1721897	1008	63504
26.55002498626709	63	92.947365	18.76561	138.27217	48.938187	21.0	0.0	4.426065	4.426065	4.426065	4.426065	1008	64512
26.935632944107056	64	87.36022	21.819115	118.5024	28.85653	21.0	0.0	4.16001	4.16001	4.16001	4.16001	1008	65520
27.32553791999817	65	87.61096	16.749376	118.24533	48.660374	21.0	0.0	4.1719503	4.1719503	4.1719503	4.1719503	1008	66528
27.71444797515869	66	88.42251	21.665535	118.460304	28.729439	21.0	0.0	4.2105956	4.2105956	4.2105956	4.2105956	1008	67536
28.10459613800049	67	90.70425	18.577553	118.56549	38.690826	21.0	0.0	4.3192496	4.3192496	4.3192496	4.3192496	1008	68544
28.494754791259766	68	94.38157	18.326612	128.39227	58.830154	21.0	0.0	4.4943604	4.4943604	4.4943604	4.4943604	1008	69552
28.880591869354248	69	91.67405	18.336931	118.60783	38.78701	21.0	0.0	4.365431	4.365431	4.365431	4.365431	1008	70560
29.273486852645874	70	92.72897	17.93935	128.30237	39.21286	21.0	0.0	4.4156656	4.4156656	4.4156656	4.4156656	1008	71568
29.658173084259033	71	93.08188	19.891592	128.55084	29.074516	21.0	0.0	4.4324703	4.4324703	4.4324703	4.4324703	1008	72576
30.04567313194275	72	90.206505	15.860103	118.23551	48.771553	21.0	0.0	4.2955484	4.2955484	4.2955484	4.2955484	1008	73584
30.441433906555176	73	93.07401	18.525772	128.12503	58.7063	21.0	0.0	4.432096	4.432096	4.432096	4.432096	1008	74592
30.832062005996704	74	96.19283	16.961182	137.84532	68.31937	21.0	0.0	4.5806108	4.5806108	4.5806108	4.5806108	1008	75600
31.228741884231567	75	94.98238	16.215645	138.08597	48.69769	21.0	0.0	4.5229707	4.5229707	4.5229707	4.5229707	1008	76608
31.622047901153564	76	93.95062	13.775785	118.68744	68.13913	21.0	0.0	4.4738393	4.4738393	4.4738393	4.4738393	1008	77616
32.01689600944519	77	92.85432	15.097488	128.3857	58.804066	21.0	0.0	4.421634	4.421634	4.421634	4.421634	1008	78624
32.400160789489746	78	90.85642	17.832706	128.42023	29.024792	21.0	0.0	4.3264966	4.3264966	4.3264966	4.3264966	1008	79632
32.79398202896118	79	92.697685	15.132722	118.447014	58.780243	21.0	0.0	4.4141755	4.4141755	4.4141755	4.4141755	1008	80640
33.19310283660889	80	89.74862	16.197357	128.23146	48.43545	21.0	0.0	4.2737436	4.2737436	4.2737436	4.2737436	1008	81648
33.58596682548523	81	92.683556	17.144897	128.39684	58.808586	21.0	0.0	4.4135027	4.4135027	4.4135027	4.4135027	1008	82656
33.98132395744324	82	96.62225	17.24674	128.32936	58.70065	21.0	0.0	4.60106	4.60106	4.60106	4.60106	1008	83664
34.38703393936157	83	92.83553	17.427118	118.52576	48.740505	21.0	0.0	4.4207397	4.4207397	4.4207397	4.4207397	1008	84672
34.776747941970825	84	92.224205	17.503916	118.63181	58.490875	21.0	0.0	4.3916283	4.3916283	4.3916283	4.3916283	1008	85680
35.17710590362549	85	93.34153	16.374529	118.60613	58.442493	21.0	0.0	4.4448347	4.4448347	4.4448347	4.4448347	1008	86688
35.5694899559021	86	97.00822	17.765541	128.27861	39.00261	21.0	0.0	4.619439	4.619439	4.619439	4.619439	1008	87696
35.96681785583496	87	97.636635	17.664585	128.1475	38.987972	21.0	0.0	4.649364	4.649364	4.649364	4.649364	1008	88704
36.356138706207275	88	98.08234	16.163063	128.44656	58.97328	21.0	0.0	4.6705875	4.6705875	4.6705875	4.6705875	1008	89712
36.75415086746216	89	97.23354	15.643131	118.25953	58.377575	21.0	0.0	4.6301684	4.6301684	4.6301684	4.6301684	1008	90720
37.156266927719116	90	100.08611	13.349217	138.05185	68.71816	21.0	0.0	4.766005	4.766005	4.766005	4.766005	1008	91728
37.549590826034546	91	98.64111	15.476572	127.960556	58.80715	21.0	0.0	4.697196	4.697196	4.697196	4.697196	1008	92736
37.950214862823486	92	99.04941	13.490708	118.635284	58.79125	21.0	0.0	4.7166386	4.7166386	4.7166386	4.7166386	1008	93744
38.359163999557495	93	95.732544	17.032183	128.43611	48.843346	21.0	0.0	4.558693	4.558693	4.558693	4.558693	1008	94752
38.75610089302063	94	98.19434	15.051589	138.0907	58.512184	21.0	0.0	4.675922	4.675922	4.675922	4.675922	1008	95760
39.153270959854126	95	97.55194	14.28773	128.34607	59.119175	21.0	0.0	4.6453304	4.6453304	4.6453304	4.6453304	1008	96768
39.56893801689148	96	98.58854	20.279402	128.18558	29.02876	21.0	0.0	4.694692	4.694692	4.694692	4.694692	1008	97776
39.9697208404541	97	101.92814	16.348923	137.85977	68.726616	21.0	0.0	4.853721	4.853721	4.853721	4.853721	1008	98784
40.37486982345581	98	98.85183	14.266845	128.28888	58.853947	21.0	0.0	4.70723	4.70723	4.70723	4.70723	1008	99792
40.72725296020508	99	101.743004	16.342583	137.69983	68.61823	21.0	0.0	4.844905	4.844905	4.844905	4.844905	1008	100800
