Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
260.3584408760071	21	-162.441360750477	-5.146975354214439	38.000356902191285	-87.72414488570634	-324.02159234003045	20.0	0.0	252	221760	-156.65182817734976	-4.952757012567723
271.184278011322	22	-155.01685231846452	-4.922286580297802	33.965450694244275	-75.26480895558974	-293.3662429043671	20.0	0.0	252	231840	-144.2722977119586	-4.968742999307306
281.85291290283203	23	-146.42365925858476	-4.420475627096137	30.258855082773987	-79.38747159366561	-278.96186637265373	20.0	0.0	252	241920	-139.54847163578197	-4.153341365116453
292.5294358730316	24	-139.8898622168991	-4.169762736106963	32.12145722358966	-72.75307602828963	-312.50303523288994	20.0	0.0	252	252000	-137.73767680307512	-3.7490517143841178
303.60222268104553	25	-134.96436179436768	-3.9376209154855117	31.14566501408524	-72.97657608533122	-265.66282722829845	20.0	0.0	252	262080	-131.20581459986383	-3.686050405719202
314.35529088974	26	-128.5979415680149	-3.5435326992610667	28.326387268636864	-68.08870493014834	-251.37305564029137	20.0	0.0	252	272160	-123.58415019635362	-3.1425097099640396
325.2584457397461	27	-121.07036984280326	-3.417742428726471	26.5393492400053	-75.55264550306111	-260.11799990492324	20.0	0.0	252	282240	-121.46647403852052	-3.2860770147828844
335.9387457370758	28	-116.61225440888425	-3.141225862397701	23.451384472081504	-53.357961630511035	-208.3458997656425	20.0	0.0	252	292320	-112.33639744821009	-2.9782519285186098
346.52112889289856	29	-113.16835298700674	-3.07044898613914	24.715790507780277	-65.83243952873092	-220.8261106302434	20.0	0.0	252	302400	-106.95059391292678	-2.933922283697249
357.2827389240265	30	-108.2365250033675	-2.804657702021377	24.044455510517775	-64.45236933923493	-329.52447845494476	20.0	0.0	252	312480	-107.39069247074151	-2.8638454304803
367.9058108329773	31	-102.29424073477377	-2.6709548872551334	19.470408426882575	-55.14600305732654	-200.845693761512	20.0	0.0	252	322560	-103.08234008293046	-2.8035231968389795
394.398512840271	32	-101.76560676672958	-2.671449392281132	21.002220567208216	-62.826130112632704	-209.5100163527453	20.0	0.0	252	332640	-93.78091229207352	-2.1609101443115226
405.52590584754944	33	-98.11490096355644	-2.407393477072579	20.25279682340278	-59.516147098549666	-256.988556882592	20.0	0.0	252	342720	-92.074236293781	-2.347594009640705
417.6020097732544	34	-91.77973058827756	-2.2090322960643833	17.36015826553894	-56.72763754788695	-196.595098888431	20.0	0.0	252	352800	-91.51189506363146	-2.312469760039668
428.9285008907318	35	-89.54771035417065	-2.2813237544712837	17.211268329471245	-54.94577835808822	-195.73882665144737	19.99375	0.13678792892649563	252	362880	-87.49891295986635	-2.124227088767309
440.10490584373474	36	-88.91683401780863	-2.1697997578241814	18.101447054327544	-54.984707569273205	-206.24017246628378	20.0	0.0	252	372960	-82.58632355596798	-2.0807826656970403
451.3999707698822	37	-82.55192455371268	-2.069194420604453	15.089820128658426	-46.19662546624947	-141.02466651249551	19.991666666666667	0.18238390523532738	252	383040	-82.85450870177043	-2.0771656828622227
462.8200137615204	38	-84.29180919502818	-2.073436422884315	20.88141428520222	-49.43738806902456	-234.63843754434657	19.99375	0.13678792892649566	252	393120	-80.46662348255211	-1.948957870447346
474.419992685318	39	-77.75343858100817	-1.8212368054065038	15.139109360019097	-48.459967915804334	-181.16402879222622	19.989583333333332	0.2279798815441592	252	403200	-79.13312147796692	-1.9329502312660936
486.37332463264465	40	-76.26671789205564	-1.7854532510114987	17.40838396757092	-45.844312475500985	-189.26035028389936	20.0	0.0	252	413280	-71.20947842057426	-1.7833578352676411
499.0472288131714	41	-75.08396358997439	-1.7569010292554548	16.29557660429454	-46.160752114635606	-162.58544250805636	20.0	0.0	252	423360	-74.56122717433833	-1.6837900622550552
513.9960207939148	42	-71.59385479868833	-1.624449037058728	15.42000719335699	-45.18393090910902	-234.0173145663267	20.0	0.0	252	433440	-72.89203368443336	-1.60963481001544
536.0072109699249	43	-70.12955690762007	-1.5579651794786165	13.869131442129149	-44.42403470693398	-147.9390874486463	19.995833333333334	0.0911919526176637	252	443520	-66.03429421165204	-1.5558763054840021
563.7992057800293	44	-68.24731856860993	-1.5195149073191696	16.130395633894683	-43.58571002438562	-228.39902245581183	20.0	0.0	252	453600	-65.40461593434271	-1.4621016657721875
575.4626517295837	45	-66.31995871230664	-1.419470201428275	15.058012858482156	-40.863500932003646	-236.80999676650535	20.0	0.0	252	463680	-61.41849898473793	-1.2628488815516627
